Elapsed time (s), Dev1/ai3, Dev1/ai0, Dev1/ai17, Dev1/ai18, Dev1/ai19, Dev1/ai20, Dev1/ai21, Dev1/ai6, Dev1/ai7
4.1290000000000004, 0.00014331115, 0.00014331115, -0.00017867949, -0.0005006701, 9.740251, 0.08869074, -0.019498117, 0.072269216, -0.02110807
4.13, 0.00078729243, 0.00046530177, -0.00017867949, -0.00017867949, 9.741217, 0.08933473, -0.019820109, 0.07259121, -0.02078608
4.131, -0.00017867949, 0.00046530177, -0.0005006701, -0.00017867949, 9.741217, 0.08933473, -0.020142099, 0.072269216, -0.02110807
4.132, -0.0005006701, 0.0011092831, -0.0005006701, -0.0005006701, 9.741538, 0.08933473, -0.019498117, 0.072269216, -0.021430062
4.133, 0.00014331115, 0.0011092831, -0.00017867949, -0.0005006701, 9.740894, 0.08869074, -0.019498117, 0.072269216, -0.02110807
4.134, -0.00017867949, 0.00046530177, -0.0005006701, 0.00014331115, 9.740894, 0.089012735, -0.020142099, 0.072269216, -0.021430062
4.135, 0.00014331115, 0.00014331115, -0.00017867949, -0.0005006701, 9.7392845, 0.08869074, -0.019820109, 0.07259121, -0.021430062
4.136, -0.00017867949, 0.00078729243, 0.00078729243, 0.00014331115, 9.739928, 0.08869074, -0.020142099, 0.071947224, -0.021430062
4.1370000000000005, -0.0005006701, 0.00046530177, 0.00014331115, 0.00014331115, 9.741217, 0.08933473, -0.019820109, 0.072269216, -0.021430062
4.138, -0.00017867949, 0.00078729243, 0.00014331115, -0.00017867949, 9.7392845, 0.08933473, -0.019176127, 0.072269216, -0.02110807
4.139, -0.0005006701, -0.00017867949, 0.00014331115, 0.00014331115, 9.740894, 0.08933473, -0.019820109, 0.07259121, -0.02110807
4.14, 0.00014331115, 0.00014331115, 0.00014331115, 0.00014331115, 9.739928, 0.08933473, -0.019820109, 0.0729132, -0.021430062
4.141, 0.00046530177, 0.00046530177, -0.00017867949, -0.0005006701, 9.742504, 0.08933473, -0.019820109, 0.072269216, -0.02110807
4.142, 0.00046530177, 0.00046530177, -0.00017867949, 0.00014331115, 9.7392845, 0.089012735, -0.019498117, 0.072269216, -0.02110807
4.143, -0.00017867949, -0.00017867949, 0.00046530177, 0.00046530177, 9.740251, 0.08933473, -0.019176127, 0.072269216, -0.021430062
4.144, 0.00046530177, 0.00014331115, 0.00014331115, 0.00014331115, 9.74186, 0.08933473, -0.019820109, 0.072269216, -0.021430062
4.1450000000000005, -0.00017867949, 0.00014331115, -0.00017867949, -0.00017867949, 9.740572, 0.08933473, -0.019498117, 0.07259121, -0.02110807
4.146, 0.00014331115, 0.00014331115, -0.00017867949, 0.00046530177, 9.739928, 0.08933473, -0.019820109, 0.072269216, -0.02110807
4.147, -0.0005006701, 0.00046530177, 0.00014331115, 0.00014331115, 9.740251, 0.08933473, -0.019820109, 0.072269216, -0.021430062
4.148, -0.00017867949, 0.00046530177, -0.00017867949, -0.00017867949, 9.740572, 0.089012735, -0.020142099, 0.07259121, -0.02078608
4.149, 0.00014331115, 0.00014331115, 0.00046530177, 0.00014331115, 9.740251, 0.08869074, -0.019176127, 0.07259121, -0.021430062
4.15, -0.00017867949, 0.00014331115, 0.00014331115, -0.0005006701, 9.740251, 0.08933473, -0.019820109, 0.07259121, -0.02078608
4.151, -0.0005006701, 0.00046530177, -0.00017867949, 0.00078729243, 9.738962, 0.08869074, -0.020142099, 0.072269216, -0.021430062
4.152, 0.00046530177, 0.00046530177, -0.0005006701, -0.00017867949, 9.740572, 0.08933473, -0.019820109, 0.072269216, -0.021430062
4.1530000000000005, -0.0005006701, -0.00017867949, 0.00046530177, 0.00014331115, 9.741538, 0.089012735, -0.019498117, 0.071947224, -0.02110807
4.154, -0.00017867949, -0.00017867949, 0.00014331115, 0.00046530177, 9.740572, 0.08933473, -0.019498117, 0.07259121, -0.021430062
4.155, -0.00082266075, -0.0005006701, -0.0005006701, -0.00017867949, 9.740572, 0.089012735, -0.019176127, 0.0729132, -0.02110807
4.156, 0.00046530177, -0.00017867949, -0.00017867949, 0.00046530177, 9.741217, 0.08933473, -0.019820109, 0.072269216, -0.021430062
4.157, -0.0005006701, -0.00017867949, 0.00014331115, -0.0005006701, 9.740894, 0.08933473, -0.019820109, 0.07259121, -0.021430062
4.158, -0.00017867949, 0.00014331115, -0.00017867949, 0.00014331115, 9.740572, 0.08933473, -0.019498117, 0.072269216, -0.02110807
4.159, -0.00082266075, 0.00046530177, -0.00017867949, -0.00017867949, 9.739928, 0.089012735, -0.019498117, 0.07259121, -0.02078608
4.16, -0.00017867949, 0.00014331115, -0.00017867949, 0.00014331115, 9.7392845, 0.089012735, -0.020464089, 0.07259121, -0.021752052
4.1610000000000005, 0.00014331115, -0.00017867949, -0.0005006701, -0.0005006701, 9.741538, 0.08933473, -0.019820109, 0.072269216, -0.020464089
4.162, 0.00014331115, -0.00017867949, -0.00017867949, 0.00014331115, 9.739607, 0.08836875, -0.019820109, 0.072269216, -0.02078608
4.163, 0.00014331115, 0.00014331115, 0.00046530177, 0.00014331115, 9.740251, 0.08933473, -0.019820109, 0.072269216, -0.021430062
4.164, 0.00014331115, -0.00017867949, -0.00017867949, -0.00017867949, 9.741538, 0.08933473, -0.019176127, 0.072269216, -0.02110807
4.165, -0.00017867949, 0.00078729243, 0.00046530177, 0.00014331115, 9.740572, 0.089012735, -0.019820109, 0.072269216, -0.02110807
4.166, -0.00017867949, 0.00046530177, -0.00017867949, -0.00017867949, 9.741538, 0.08965671, -0.019820109, 0.07259121, -0.02110807
4.167, 0.00046530177, 0.00078729243, 0.00046530177, 0.00014331115, 9.740894, 0.08933473, -0.019820109, 0.072269216, -0.02110807
4.168, 0.00014331115, 0.00046530177, 0.00014331115, 0.00014331115, 9.739928, 0.08965671, -0.020142099, 0.072269216, -0.02078608
4.1690000000000005, -0.0005006701, -0.00017867949, 0.00014331115, 0.00014331115, 9.7392845, 0.089012735, -0.019820109, 0.07162523, -0.02110807
4.17, 0.00046530177, 0.00014331115, -0.00017867949, 0.00014331115, 9.740251, 0.089012735, -0.019820109, 0.07259121, -0.02078608
4.171, 0.00046530177, 0.00046530177, -0.00017867949, 0.00014331115, 9.740894, 0.08933473, -0.019498117, 0.072269216, -0.02110807
4.172, 0.00014331115, 0.00014331115, -0.0005006701, -0.0005006701, 9.740251, 0.08869074, -0.019820109, 0.072269216, -0.021430062
4.173, 0.00014331115, 0.00046530177, 0.00014331115, 0.00014331115, 9.739928, 0.089012735, -0.019820109, 0.072269216, -0.02110807
4.174, -0.00017867949, -0.00017867949, -0.0005006701, 0.00014331115, 9.739607, 0.08965671, -0.019820109, 0.07259121, -0.02110807
4.175, -0.0005006701, 0.00078729243, 0.00014331115, 0.00014331115, 9.741538, 0.089012735, -0.020142099, 0.0729132, -0.021430062
4.176, -0.0005006701, 0.00014331115, 0.00014331115, 0.00046530177, 9.740572, 0.089012735, -0.019820109, 0.07259121, -0.021752052
4.1770000000000005, 0.00014331115, -0.00017867949, -0.00017867949, -0.00017867949, 9.741538, 0.08933473, -0.019176127, 0.072269216, -0.021430062
4.178, 0.00014331115, 0.00014331115, 0.00014331115, 0.00014331115, 9.740251, 0.08933473, -0.019820109, 0.072269216, -0.02110807
4.179, 0.00014331115, 0.00046530177, -0.00017867949, -0.00017867949, 9.7392845, 0.0899787, -0.018854136, 0.071947224, -0.02110807
4.18, -0.00017867949, 0.00014331115, 0.00046530177, -0.00017867949, 9.740251, 0.089012735, -0.019820109, 0.0729132, -0.021430062
4.181, 0.00046530177, 0.00046530177, -0.00017867949, -0.00017867949, 9.739928, 0.08933473, -0.020142099, 0.07259121, -0.021752052
4.182, -0.00017867949, 0.00046530177, -0.0005006701, -0.0005006701, 9.739607, 0.08869074, -0.019820109, 0.071947224, -0.02110807
4.183, -0.00017867949, 0.00014331115, 0.00014331115, -0.00017867949, 9.739928, 0.08869074, -0.019820109, 0.072269216, -0.02110807
4.184, -0.00017867949, 0.00014331115, -0.0005006701, -0.0005006701, 9.742183, 0.089012735, -0.019498117, 0.07259121, -0.020464089
4.1850000000000005, 0.00014331115, 0.00014331115, 0.00014331115, -0.00017867949, 9.740251, 0.089012735, -0.019820109, 0.07259121, -0.021752052
4.186, 0.00046530177, 0.00014331115, -0.00017867949, -0.00017867949, 9.740894, 0.08933473, -0.020142099, 0.072269216, -0.02110807
4.187, -0.00017867949, -0.00017867949, 0.00014331115, -0.0005006701, 9.741217, 0.08965671, -0.019820109, 0.072269216, -0.021430062
4.188, 0.00014331115, 0.00046530177, 0.00014331115, -0.00082266075, 9.739928, 0.08933473, -0.019176127, 0.072269216, -0.021430062
4.189, -0.0005006701, -0.00017867949, 0.00046530177, -0.00017867949, 9.740251, 0.08933473, -0.019498117, 0.072269216, -0.021430062
